Keuwl Accelerometer Data File
2017-11-22 11-23-54

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.029256,-0.069215,0.967380,0.970294,4.441708,247.087173
0.0100000,-0.029256,-0.069215,0.967380,0.970294,4.441708,247.087173
0.0200000,-0.029256,-0.069215,0.967380,0.970294,4.441708,247.087173
0.0300000,-0.029256,-0.069215,0.967380,0.970294,4.441708,247.087173
0.0400000,-0.029256,-0.069215,0.967380,0.970294,4.441708,247.087173
0.0500000,-0.029256,-0.069215,0.967380,0.970294,4.441708,247.087173
0.0600000,-0.029256,-0.069215,0.967380,0.970294,4.441708,247.087173
0.0710434,-0.031193,-0.067278,0.965443,0.968287,4.392399,245.125854
0.0806147,-0.026300,-0.062385,0.959633,0.962018,4.035510,247.141235
0.0903950,-0.030173,-0.064424,0.969419,0.972026,4.197080,244.903748
0.1001504,-0.027319,-0.067278,0.970336,0.973050,4.279655,247.899872
0.1098475,-0.029256,-0.064424,0.967380,0.969964,4.183292,245.576538
0.1198792,-0.029256,-0.067278,0.972273,0.975037,4.315158,246.498260
0.1298838,-0.026300,-0.062385,0.965443,0.967814,4.011369,247.141235
0.1398031,-0.028236,-0.065341,0.969419,0.972029,4.199506,246.629028
0.1498556,-0.028236,-0.063405,0.969419,0.971900,4.095243,245.994797
0.1598018,-0.027319,-0.068298,0.967380,0.970173,4.348345,248.198593
0.1699159,-0.030173,-0.069215,0.965443,0.968391,4.471900,246.445923
0.1798021,-0.030173,-0.066361,0.967380,0.970123,4.309481,245.549408
0.1903768,-0.027319,-0.070234,0.966463,0.969396,4.458653,248.745483
0.2005525,-0.027319,-0.066361,0.968400,0.971055,4.238222,247.624298
0.2161965,-0.025382,-0.064424,0.965443,0.967923,4.102362,248.496185
0.2211629,-0.031193,-0.065341,0.964526,0.967240,4.293043,244.481171
0.2298178,-0.023344,-0.063405,0.971356,0.973703,3.978920,249.787949
0.2397915,-0.031193,-0.068298,0.973293,0.976184,4.411309,245.453049
0.2498112,-0.031193,-0.067278,0.967380,0.970218,4.383650,245.125854
0.2598434,-0.024363,-0.059531,0.978185,0.980298,3.762235,247.743332
0.2715774,-0.026300,-0.067278,0.966463,0.969159,4.274480,248.649017
0.2798839,-0.030173,-0.063405,0.969419,0.971959,4.142835,244.550964
0.2897972,-0.025382,-0.061468,0.971356,0.973630,3.916567,247.562546
0.3019501,-0.022426,-0.061468,0.968400,0.970607,3.865384,249.955887
0.3099020,-0.027319,-0.065341,0.966463,0.969054,4.191150,247.310349
0.3216416,-0.029256,-0.067278,0.972273,0.975037,4.315158,246.498260
0.3301098,-0.029256,-0.070234,0.971356,0.974331,4.478728,247.386047
0.3398016,-0.031193,-0.068298,0.965443,0.968359,4.446996,245.453049
0.3498971,-0.023344,-0.061468,0.967380,0.969612,3.888366,249.204834
0.3598243,-0.029256,-0.060449,0.969419,0.971742,3.962793,244.173965
0.3756798,-0.029256,-0.063405,0.962589,0.965119,4.149117,245.230698
